title,view,score
SW사고기법,194,12
비전공자를 위한 자바프로그래밍,650,10
피지컬 컴퓨팅을 위한 아두이노,233,84
파이썬 (Python) 으로 배우는 프로그래밍 기초 (CS101),5375,1761
문제해결을 통한 웹프로그래밍 입문,1353,88
Data Science Fundamentals,458,4
인터넷 환경에서의 개인정보 보안 및 관리,276,34
비전공자를 위한 기초프로그래밍,1380,31
C언어를 활용한 기초컴퓨터프로그래밍,7875,144
파이썬을 활용한 기초컴퓨터프로그래밍,5769,151
앱인벤터를 활용한 기초컴퓨터프로그래밍,1647,57
R언어를 활용한 기초컴퓨터프로그래밍,4996,153
인문사회예체능계열 전공자를 위한 컴퓨팅사고,1569,17
IT 기본 개념,3320,164
통신의 기초,3246,113
소프트웨어와 문제해결,262,0
C 프로그래밍 기초,8561,353
스크래치 활용 프로그래밍,2062,17
기초 PYTHON 프로그래밍,20510,551
데이터베이스,1035,16
오픈소스 개발의 이해와 실습,1317,6
자료구조 및 알고리즘 개론 II,1285,32
자료구조 및 알고리즘 개론 I,5839,322
이공계열 전공자를 위한 컴퓨팅사고,1293,62
파이선 프로그래밍 심화,1076,29
정보 검색,208,1
C 프로그래밍 심화,2824,75
