title,view,price,score,like,college,url
[부스트코스] 모두를 위한 컴퓨터 과학 (CS50 2019),3204,,,664,,https://www.edwith.org/boostcourse-cs-050
3분에 익히는 머신러닝의 기본 원리,1092,,,25,,https://www.edwith.org/terrydltalks
"컴퓨터비전, 머신러닝, 딥러닝을 이용한 의료영상분석",544,,,236,,https://www.edwith.org/medical-20200327
(2020년 1학기) 심층 강화학습의 이해,202,,,45,,https://www.edwith.org/understanding-20200327
인공지능과 지능형 교통체계,278,,,52,,https://www.edwith.org/aitransportation
[부스트코스] 웹 백엔드,2620,,,101,,https://www.edwith.org/boostcourse-web-be
인공지능의 이해,642,,,50,,https://www.edwith.org/knusw-ai
SW사고기법,196,,,12,,https://www.edwith.org/knusw-swthinking
[부스트코스] 프로젝트로 배우는 데이터사이언스,688,,,47,,https://www.edwith.org/boostcourse-ds-511
AI/딥러닝 입문자 학습 가이드 (with NAVER),332,,,2,,https://www.edwith.org/hellodl101
Hands on Deep Learning,193,,,19,,https://www.edwith.org/hands-on-deep-learning-01
"머신러닝, 딥러닝 기초 with Python, Keras",708,,,33,,https://www.edwith.org/pnu-deeplearning
[부스트코스] 파이썬으로 시작하는 데이터 사이언스,4154,,,506,,https://www.edwith.org/boostcourse-ds-510
DataLit : 데이터다루기,399,,,12,,https://www.edwith.org/datait
[부스트코스] 캐글 실습으로 배우는 데이터 사이언스,2972,,,124,,https://www.edwith.org/boostcourse-ds-kaggle
프로그래머를 위한 머신러닝,657,,,3,,https://www.edwith.org/machinelearningforcoders
School of AI : MOVE37 강화학습시작하기,188,,,17,,https://www.edwith.org/move37
"소프트웨어 교육 컨퍼런스, SEF2019",335,,,35,,https://www.edwith.org/sef-2019
웹 접근성 이해,479,,,14,,https://www.edwith.org/web-accessibility
데이터 과학 산책,2024,,,1035,,https://www.edwith.org/walkingds19
[부스트코스] 파이토치로 시작하는 딥러닝 기초,3669,,,204,,https://www.edwith.org/boostcourse-dl-pytorch
[부스트코스] 텐서플로우로 시작하는 딥러닝 기초,8649,,,502,,https://www.edwith.org/boostcourse-dl-tensorflow
[MIT]인공지능개론,2014,,,45,,https://www.edwith.org/mitai
School of AI : 라이브 코딩으로 딥러닝 최신 트렌드 배우기,692,,,6,,https://www.edwith.org/introdeep
딥러닝 4단계: 합성곱 신경망 네트워크 (CNN),1907,,,245,,https://www.edwith.org/deeplearningai4
딥러닝 3단계: 머신러닝 프로젝트 구조화하기,1389,,,99,,https://www.edwith.org/deeplearningai3
딥러닝 2단계: 심층 신경망 성능 향상시키기,1355,,,160,,https://www.edwith.org/deeplearningai2
딥러닝 1단계: 신경망과 딥러닝,4779,,,420,,https://www.edwith.org/deeplearningai1
School of AI : 비지니스에 활용되는 AI,926,,,24,,https://www.edwith.org/schoolofai
Data Science Fundamentals,458,,,4,,https://www.edwith.org/data-science
[MIT] 데이터 사이언스 기초,4055,,,39,,https://www.edwith.org/datascience
[부스트코스] 웹 UI 개발,7062,,,1170,,https://www.edwith.org/boostcourse-ui
"소프트웨어 교육 컨퍼런스, SEF 2018",429,,,9,,https://www.edwith.org/sef2018
[칸아카데미] 모두를 위한 선형대수학,5288,,,248,,https://www.edwith.org/linear-algebra
[하버드] 확률론 기초: Statistics 110,6600,,,262,,https://www.edwith.org/harvardprobability
Online Test - DSC2018,1034,,,0,,https://www.edwith.org/dsc2018test
인터넷 환경에서의 개인정보 보안 및 관리,276,,,34,,https://www.edwith.org/personalsecurity
비전공자를 위한 기초프로그래밍,1381,,,31,,https://www.edwith.org/knu-cbasic
딥러닝을 이용한 자연어 처리,4650,,,255,,https://www.edwith.org/deepnlp
[MIT]파이썬을 이용한 알고리즘의 이해,5259,,,69,,https://www.edwith.org/introalgorithm
"캡스톤 : 파이썬을 이용한 데이터 검색, 처리 및 시각화",5482,,,97,,https://www.edwith.org/python-capston
[해외명강] 컴퓨터 과학 교양 강좌: CS50,14306,,,222,,https://www.edwith.org/cs50
인공지능 및 기계학습 심화,1887,,,236,,https://www.edwith.org/aiml-adv
Bayesian Deep Learning,3521,,,248,,https://www.edwith.org/bayesiandeeplearning
[부스트코스] 머신러닝을 위한 파이썬,11222,,,474,,https://www.edwith.org/aipython
인공지능을 위한 선형대수,7189,,,372,,https://www.edwith.org/linearalgebra4ai
파이썬을 이용한 데이터베이스 처리,5552,,,270,,https://www.edwith.org/python-databases
파이썬을 이용한 웹 스크래핑,6788,,,631,,https://www.edwith.org/python-network-data
파이썬 자료구조,10657,,,786,,https://www.edwith.org/python-data
[스탠포드]Swift를 활용한 iOS11 앱 개발,2297,,,65,,https://www.edwith.org/swiftapp
인문사회예체능계열 전공자를 위한 컴퓨팅사고,1571,,,17,,https://www.edwith.org/pnu-thinking02
IT 기본 개념,3319,,,164,,https://www.edwith.org/it-ewha-course
통신의 기초,3244,,,113,,https://www.edwith.org/tel-ewha-course
[부스트코스] 안드로이드 프로그래밍,15086,,,656,,https://www.edwith.org/boostcourse-android
[부스트코스] iOS 프로그래밍,8284,,,589,,https://www.edwith.org/boostcourse-ios
초보자를 위한 HTML & CSS 동작과 원리,9259,,,347,,https://www.edwith.org/htmlcss
[부스트코스] 웹 프로그래밍,30981,,,2416,,https://www.edwith.org/boostcourse-web
모두를 위한 프로그래밍 : 파이썬,39842,,,1833,,https://www.edwith.org/pythonforeverybody
에디&위니와 함께 떠나는 소프트웨어 여행: 엔트리 기초,291,,,4,,https://www.edwith.org/connectschool
소프트웨어와 문제해결,262,,,0,,https://www.edwith.org/swproblem
(거꾸로 교실) 학생들을 위한 피지컬 컴퓨팅 기초,1020,,,1,,https://www.edwith.org/hjy1221
