title,view,price,score,like,college,url
비전공자를 위한 개발자 취업 개론,298,55000,4.9,,,https://www.inflearn.com/course/%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%B7%A8%EC%97%85-%EC%9E%85%EB%AC%B8-%EA%B0%9C%EB%A1%A0
[C#과 유니티로 만드는 MMORPG 게임 개발 시리즈] Part3: 유니티 엔진,414,88000,5.0,,,https://www.inflearn.com/course/MMORPG-%EC%9C%A0%EB%8B%88%ED%8B%B0
[C#과 유니티로 만드는 MMORPG 게임 개발 시리즈] Part2: 자료구조와 알고리즘,464,44000,4.9,,,https://www.inflearn.com/course/%EC%9C%A0%EB%8B%88%ED%8B%B0-MMORPG-%EA%B0%9C%EB%B0%9C-part2
"iOS Concurrency(동시성) 프로그래밍, 동기 비동기 처리 그리고  GCD/Operation - 디스패치큐와 오퍼레이션큐의 이해",76,55000,5.0,,,https://www.inflearn.com/course/iOS-Concurrency-GCD-Operation
"더 자바, 애플리케이션을 테스트하는 다양한 방법",694,66000,4.7,,,https://www.inflearn.com/course/the-java-application-test
실전! 스프링 데이터 JPA,877,88000,4.9,,,https://www.inflearn.com/course/%EC%8A%A4%ED%94%84%EB%A7%81-%EB%8D%B0%EC%9D%B4%ED%84%B0-JPA-%EC%8B%A4%EC%A0%84
남박사의 파이썬으로 실전 웹사이트 만들기,344,55000,5.0,,,https://www.inflearn.com/course/%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EC%9B%B9%EC%82%AC%EC%9D%B4%ED%8A%B8%EB%A7%8C%EB%93%A4%EA%B8%B0-%EC%8B%A4%EC%A0%84
프로그래밍 시작하기 : 파이썬 입문 (Inflearn Original),4702,55000,4.7,,,https://www.inflearn.com/course/%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D-%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EC%9E%85%EB%AC%B8-%EC%9D%B8%ED%94%84%EB%9F%B0-%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90
실전! 스프링 부트와 JPA 활용1 - 웹 애플리케이션 개발,1499,88000,4.9,,,https://www.inflearn.com/course/%EC%8A%A4%ED%94%84%EB%A7%81%EB%B6%80%ED%8A%B8-JPA-%ED%99%9C%EC%9A%A9-1
HTML+CSS+JQUERY 반응형 웹사이트 포트폴리오(Architecture Agency),26,77000,-1,,,https://www.inflearn.com/course/%EB%B0%98%EC%9D%91%ED%98%95-%EC%9B%B9%EC%82%AC%EC%9D%B4%ED%8A%B8-%ED%8F%AC%ED%8A%B8%ED%8F%B4%EB%A6%AC%EC%98%A4-%EC%9B%B9%ED%8D%BC%EB%B8%94%EB%A6%AC%EC%8B%B1
유니티(Unity)로 시작하는 게임개발: Part 2. C# 프로그래밍 입문,46,77000,-1,,,https://www.inflearn.com/course/%EC%9C%A0%EB%8B%88%ED%8B%B0-%EA%B2%8C%EC%9E%84%EA%B0%9C%EB%B0%9C-%ED%8C%8C%ED%8A%B82
HTML+CSS+JQUERY 포트폴리오 중급 실전 퍼블리싱,133,46200,5.0,,,https://www.inflearn.com/course/%EC%9B%B9-%ED%8D%BC%EB%B8%94%EB%A6%AC%EC%8B%B1-%EC%9D%B4%EB%A1%A0-%EC%8B%A4%EC%A0%84
눈떠보니 코딩 테스트 전날,457,33000,4.8,,,https://www.inflearn.com/course/%EC%BD%94%EB%94%A9-%ED%85%8C%EC%8A%A4%ED%8A%B8-%EC%A0%84%EB%82%A0
애플 웹사이트 인터랙션 클론!,526,77000,5.0,,,https://www.inflearn.com/course/%EC%95%A0%ED%94%8C-%EC%9B%B9%EC%82%AC%EC%9D%B4%ED%8A%B8-%EC%9D%B8%ED%84%B0%EB%9E%99%EC%85%98-%ED%81%B4%EB%A1%A0
비전공자를 위한 개발자 취업 실전 가이드,842,33000,4.9,,,https://www.inflearn.com/course/%EB%B9%84%EC%A0%84%EA%B3%B5%EC%9E%90%EB%A5%BC-%EC%9C%84%ED%95%9C-%EA%B0%9C%EB%B0%9C%EC%9E%90-%EC%B7%A8%EC%97%85
딥러닝 컴퓨터 비전 완벽 가이드,397,99000,5.0,,,https://www.inflearn.com/course/%EB%94%A5%EB%9F%AC%EB%8B%9D-%EC%BB%B4%ED%93%A8%ED%84%B0%EB%B9%84%EC%A0%84-%EC%99%84%EB%B2%BD%EA%B0%80%EC%9D%B4%EB%93%9C
스프링과 JPA 기반 웹 애플리케이션 개발,363,330000,4.6,,,https://www.inflearn.com/course/%EC%8A%A4%ED%94%84%EB%A7%81-JPA-%EC%9B%B9%EC%95%B1
Vue.js 끝장내기 - 실무에 필요한 모든 것,556,110000,4.9,,,https://www.inflearn.com/course/vue-js-%EB%81%9D%EB%82%B4%EA%B8%B0-%EC%BA%A1%ED%8B%B4%ED%8C%90%EA%B5%90
스프링 시큐리티 - Spring Boot 기반으로 개발하는 Spring Security,130,88000,4.9,,,https://www.inflearn.com/course/%EC%BD%94%EC%96%B4-%EC%8A%A4%ED%94%84%EB%A7%81-%EC%8B%9C%ED%81%90%EB%A6%AC%ED%8B%B0
[백문이불여일타] 데이터 분석을 위한 중급 SQL,236,38500,4.9,,,https://www.inflearn.com/course/%EB%8D%B0%EC%9D%B4%ED%84%B0-%EB%B6%84%EC%84%9D-%EC%A4%91%EA%B8%89-SQL
[백문이불여일타] 데이터 분석을 위한 기초 SQL,319,16500,4.8,,,https://www.inflearn.com/course/%EB%B0%B1%EB%AC%B8%EC%9D%B4%EB%B6%88%EC%97%AC%EC%9D%BC%ED%83%80-%EB%8D%B0%EC%9D%B4%ED%84%B0-%EB%B6%84%EC%84%9D-%EA%B8%B0%EC%B4%88-SQL
