title,view,price,score,like,college,url
WEB1 - HTML & Internet,5555,,,2600.0,,https://opentutorials.org/course/3084
WEB2 - CSS,1539,,,142,,https://opentutorials.org/course/3086
WEB2 - JavaScript,1544,,,110,,https://opentutorials.org/course/3085
Ajax,359,,,25,,https://opentutorials.org/course/3281
Facebook Login,60,,,9,,https://opentutorials.org/course/3423
Google Login,58,,,4,,https://opentutorials.org/course/3424
WEB2 - Node.js,737,,,63,,https://opentutorials.org/course/3332
Node.js - MySQL,133,,,17,,https://opentutorials.org/course/3347
Node.js - Express,128,,,104,,https://opentutorials.org/course/3370
Node.js - 쿠키와 인증,98,,,2,,https://opentutorials.org/course/3387
세션과 인증,78,,,3,,https://opentutorials.org/course/3400
Passport.js,58,,,1,,https://opentutorials.org/course/3402
다중 사용자,46,,,47,,https://opentutorials.org/course/3411
Google Login,22,,,52,,https://opentutorials.org/course/3413
Facebook Login,20,,,63,,https://opentutorials.org/course/3414
WEB2 - Python,517,,,107,,https://opentutorials.org/course/3256
WEB2 - PHP,370,,,700,,https://opentutorials.org/course/3130
WEB3 - PHP & MySQL,164,,,217,,https://opentutorials.org/course/3167
WEB2 - Home server,208,,,663,,https://opentutorials.org/course/3265
WEB2 - Domain Name System,149,,,262,,https://opentutorials.org/course/3276
WEB2 - HTTP,160,,,139,,https://opentutorials.org/course/3385
WEB2 - OAuth 2.0,143,,,52,,https://opentutorials.org/course/3405
웹 애플리케이션 만들기,8233,,,2700,,https://opentutorials.org/course/1688
JAVA1,407,,,23,,https://opentutorials.org/course/3930
JAVA - 제어문,54,,,22,,https://opentutorials.org/course/3975
JAVA - method,54,,,2,,https://opentutorials.org/course/4024
JAVA 객체 지향 프로그래밍,56,,,3,,https://opentutorials.org/course/4074
Java 상속,10,,,0,,https://opentutorials.org/course/4408
Java,3449,,,153,,https://opentutorials.org/course/1223
JavaScript,2971,,,228,,https://opentutorials.org/course/743
PHP,1312,,,3,,https://opentutorials.org/course/3018
Python & Ruby,1900,,,616,,https://opentutorials.org/course/1750
